timestamp,utilization.gpu,memory.used,memory.free,temperature.gpu,power.draw
2026-09-22T23:21:00+08:00,0, 299, 48242, 48, 80.47
2026-09-22T23:21:05+08:00,0, 299, 48242, 46, 16.14
2026-09-22T23:21:10+08:00,0, 566, 47974, 46, 77.85
2026-09-22T23:21:15+08:00,0, 299, 48242, 45, 20.69
2026-09-22T23:21:20+08:00,0, 299, 48242, 44, 10.47
2026-09-22T23:21:25+08:00,0, 299, 48242, 43, 10.43
2026-09-22T23:21:30+08:00,0, 299, 48242, 42, 18.80
2026-09-22T23:21:35+08:00,0, 299, 48242, 41, 10.57
2026-09-22T23:21:40+08:00,0, 299, 48242, 41, 10.35
2026-09-22T23:21:45+08:00,0, 299, 48242, 40, 11.35
2026-09-22T23:21:50+08:00,0, 299, 48242, 39, 13.32
